Grupo1	Grupo2	Metrica	G1_variable_1	G1_variable_2	G1_variable_3	G1_variable_4	G2_variable_1	G2_variable_2	G2_variable_3	G2_variable_4	Wilcoxon_estadistico	Wilcoxon_valor-p
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:1_it2	prc	it1	1:3	raw	[]	it2	1:1	stand	[]	10.0	0.3125
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:1_it1	prc	it1	1:3	raw	[]	it1	1:1	stand	[]	14.0	0.640625
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_2:1_it3	prc	it1	1:3	raw	[]	it3	2:1	stand	[]	6.0	0.109375
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_2:1_it2	prc	it1	1:3	raw	[]	it2	2:1	stand	[]	7.0	0.1484375
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_2:1_it1	prc	it1	1:3	raw	[]	it1	2:1	stand	[]	6.0	0.109375
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:2_it3	prc	it1	1:3	raw	[]	it3	1:2	stand	[]	2.0	0.0234375
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:2_it2	prc	it1	1:3	raw	[]	it2	1:2	stand	[]	6.0	0.109375
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:2_it1	prc	it1	1:3	raw	[]	it1	1:2	stand	[]	10.0	0.3125
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:3_it3	prc	it1	1:3	raw	[]	it3	1:3	stand	[]	0.0	0.0078125
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:3_it2	prc	it1	1:3	raw	[]	it2	1:3	stand	[]	2.0	0.0234375
t_wa_prc_raw_1:3_it1	t_wa_prc_stand_1:3_it1	prc	it1	1:3	raw	[]	it1	1:3	stand	[]	0.0	0.0078125
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_3:1_it3	prc	it1	1:3	raw	[]	it3	3:1	norm	[]	4.0	0.0546875
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_3:1_it2	prc	it1	1:3	raw	[]	it2	3:1	norm	[]	4.0	0.0546875
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_3:1_it1	prc	it1	1:3	raw	[]	it1	3:1	norm	[]	7.0	0.1484375
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:1_it3	prc	it1	1:3	raw	[]	it3	1:1	norm	[]	6.0	0.109375
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:1_it2	prc	it1	1:3	raw	[]	it2	1:1	norm	[]	6.0	0.109375
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:1_it1	prc	it1	1:3	raw	[]	it1	1:1	norm	[]	5.0	0.078125
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_2:1_it3	prc	it1	1:3	raw	[]	it3	2:1	norm	[]	2.0	0.0234375
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_2:1_it2	prc	it1	1:3	raw	[]	it2	2:1	norm	[]	1.0	0.015625
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_2:1_it1	prc	it1	1:3	raw	[]	it1	2:1	norm	[]	1.0	0.015625
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:2_it3	prc	it1	1:3	raw	[]	it3	1:2	norm	[]	5.0	0.078125
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:2_it2	prc	it1	1:3	raw	[]	it2	1:2	norm	[]	3.0	0.0390625
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:2_it1	prc	it1	1:3	raw	[]	it1	1:2	norm	[]	10.0	0.3125
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:3_it3	prc	it1	1:3	raw	[]	it3	1:3	norm	[]	2.0	0.0234375
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:3_it2	prc	it1	1:3	raw	[]	it2	1:3	norm	[]	2.0	0.0234375
t_wa_prc_raw_1:3_it1	t_wa_prc_norm_1:3_it1	prc	it1	1:3	raw	[]	it1	1:3	norm	[]	1.0	0.015625
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_3:1_it2	prc	it3	3:1	stand	[]	it2	3:1	stand	[]	17.0	0.9453125
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_3:1_it1	prc	it3	3:1	stand	[]	it1	3:1	stand	[]	14.0	0.640625
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:1_it3	prc	it3	3:1	stand	[]	it3	1:1	stand	[]	8.0	0.1953125
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:1_it2	prc	it3	3:1	stand	[]	it2	1:1	stand	[]	2.0	0.0234375
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:1_it1	prc	it3	3:1	stand	[]	it1	1:1	stand	[]	1.0	0.015625
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_2:1_it3	prc	it3	3:1	stand	[]	it3	2:1	stand	[]	10.0	0.3125
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_2:1_it2	prc	it3	3:1	stand	[]	it2	2:1	stand	[]	10.0	0.3125
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_2:1_it1	prc	it3	3:1	stand	[]	it1	2:1	stand	[]	7.0	0.1484375
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:2_it3	prc	it3	3:1	stand	[]	it3	1:2	stand	[]	16.0	0.84375
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:2_it2	prc	it3	3:1	stand	[]	it2	1:2	stand	[]	3.0	0.0390625
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:2_it1	prc	it3	3:1	stand	[]	it1	1:2	stand	[]	5.0	0.078125
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:3_it3	prc	it3	3:1	stand	[]	it3	1:3	stand	[]	6.0	0.1762963744405111
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:3_it2	prc	it3	3:1	stand	[]	it2	1:3	stand	[]	8.0	0.3104944343172349
t_wa_prc_stand_3:1_it3	t_wa_prc_stand_1:3_it1	prc	it3	3:1	stand	[]	it1	1:3	stand	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_3:1_it3	prc	it3	3:1	stand	[]	it3	3:1	norm	[]	12.0	0.4609375
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_3:1_it2	prc	it3	3:1	stand	[]	it2	3:1	norm	[]	16.0	0.84375
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_3:1_it1	prc	it3	3:1	stand	[]	it1	3:1	norm	[]	12.0	0.4609375
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:1_it3	prc	it3	3:1	stand	[]	it3	1:1	norm	[]	10.5	0.3125
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:1_it2	prc	it3	3:1	stand	[]	it2	1:1	norm	[]	13.0	0.546875
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:1_it1	prc	it3	3:1	stand	[]	it1	1:1	norm	[]	8.0	0.1953125
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_2:1_it3	prc	it3	3:1	stand	[]	it3	2:1	norm	[]	13.0	0.8657723749926214
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_2:1_it2	prc	it3	3:1	stand	[]	it2	2:1	norm	[]	9.0	0.25
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_2:1_it1	prc	it3	3:1	stand	[]	it1	2:1	norm	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:2_it3	prc	it3	3:1	stand	[]	it3	1:2	norm	[]	15.0	0.7421875
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:2_it2	prc	it3	3:1	stand	[]	it2	1:2	norm	[]	17.0	0.9453125
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:2_it1	prc	it3	3:1	stand	[]	it1	1:2	norm	[]	10.0	0.3125
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:3_it3	prc	it3	3:1	stand	[]	it3	1:3	norm	[]	13.5	0.546875
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:3_it2	prc	it3	3:1	stand	[]	it2	1:3	norm	[]	13.5	0.546875
t_wa_prc_stand_3:1_it3	t_wa_prc_norm_1:3_it1	prc	it3	3:1	stand	[]	it1	1:3	norm	[]	14.0	0.640625
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_3:1_it1	prc	it2	3:1	stand	[]	it1	3:1	stand	[]	9.0	0.25
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:1_it3	prc	it2	3:1	stand	[]	it3	1:1	stand	[]	7.0	0.1484375
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:1_it2	prc	it2	3:1	stand	[]	it2	1:1	stand	[]	1.0	0.015625
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:1_it1	prc	it2	3:1	stand	[]	it1	1:1	stand	[]	2.0	0.0234375
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_2:1_it3	prc	it2	3:1	stand	[]	it3	2:1	stand	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_2:1_it2	prc	it2	3:1	stand	[]	it2	2:1	stand	[]	9.0	0.25
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_2:1_it1	prc	it2	3:1	stand	[]	it1	2:1	stand	[]	2.0	0.0234375
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:2_it3	prc	it2	3:1	stand	[]	it3	1:2	stand	[]	4.0	0.0546875
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:2_it2	prc	it2	3:1	stand	[]	it2	1:2	stand	[]	4.0	0.0546875
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:2_it1	prc	it2	3:1	stand	[]	it1	1:2	stand	[]	2.0	0.0234375
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:3_it3	prc	it2	3:1	stand	[]	it3	1:3	stand	[]	13.0	0.546875
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:3_it2	prc	it2	3:1	stand	[]	it2	1:3	stand	[]	8.0	0.1953125
t_wa_prc_stand_3:1_it2	t_wa_prc_stand_1:3_it1	prc	it2	3:1	stand	[]	it1	1:3	stand	[]	8.0	0.1953125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_3:1_it3	prc	it2	3:1	stand	[]	it3	3:1	norm	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_3:1_it2	prc	it2	3:1	stand	[]	it2	3:1	norm	[]	17.0	0.9453125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_3:1_it1	prc	it2	3:1	stand	[]	it1	3:1	norm	[]	9.0	0.25
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:1_it3	prc	it2	3:1	stand	[]	it3	1:1	norm	[]	10.0	0.3125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:1_it2	prc	it2	3:1	stand	[]	it2	1:1	norm	[]	9.0	0.25
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:1_it1	prc	it2	3:1	stand	[]	it1	1:1	norm	[]	8.0	0.1953125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_2:1_it3	prc	it2	3:1	stand	[]	it3	2:1	norm	[]	14.0	0.640625
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_2:1_it2	prc	it2	3:1	stand	[]	it2	2:1	norm	[]	17.0	0.9453125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_2:1_it1	prc	it2	3:1	stand	[]	it1	2:1	norm	[]	10.0	0.3125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:2_it3	prc	it2	3:1	stand	[]	it3	1:2	norm	[]	16.0	0.84375
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:2_it2	prc	it2	3:1	stand	[]	it2	1:2	norm	[]	14.0	0.640625
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:2_it1	prc	it2	3:1	stand	[]	it1	1:2	norm	[]	5.0	0.078125
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:3_it3	prc	it2	3:1	stand	[]	it3	1:3	norm	[]	18.0	1.0
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:3_it2	prc	it2	3:1	stand	[]	it2	1:3	norm	[]	12.0	0.4609375
t_wa_prc_stand_3:1_it2	t_wa_prc_norm_1:3_it1	prc	it2	3:1	stand	[]	it1	1:3	norm	[]	10.0	0.3125
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:1_it3	prc	it1	3:1	stand	[]	it3	1:1	stand	[]	15.0	0.7421875
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:1_it2	prc	it1	3:1	stand	[]	it2	1:1	stand	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:1_it1	prc	it1	3:1	stand	[]	it1	1:1	stand	[]	7.0	0.1484375
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_2:1_it3	prc	it1	3:1	stand	[]	it3	2:1	stand	[]	16.0	0.84375
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_2:1_it2	prc	it1	3:1	stand	[]	it2	2:1	stand	[]	15.0	0.7421875
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_2:1_it1	prc	it1	3:1	stand	[]	it1	2:1	stand	[]	17.0	0.9453125
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:2_it3	prc	it1	3:1	stand	[]	it3	1:2	stand	[]	12.0	0.4609375
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:2_it2	prc	it1	3:1	stand	[]	it2	1:2	stand	[]	14.0	0.640625
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:2_it1	prc	it1	3:1	stand	[]	it1	1:2	stand	[]	16.0	0.84375
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:3_it3	prc	it1	3:1	stand	[]	it3	1:3	stand	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:3_it2	prc	it1	3:1	stand	[]	it2	1:3	stand	[]	15.0	0.7421875
t_wa_prc_stand_3:1_it1	t_wa_prc_stand_1:3_it1	prc	it1	3:1	stand	[]	it1	1:3	stand	[]	14.0	0.640625
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_3:1_it3	prc	it1	3:1	stand	[]	it3	3:1	norm	[]	9.0	0.3980247195069378
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_3:1_it2	prc	it1	3:1	stand	[]	it2	3:1	norm	[]	10.0	0.3125
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_3:1_it1	prc	it1	3:1	stand	[]	it1	3:1	norm	[]	16.0	0.84375
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:1_it3	prc	it1	3:1	stand	[]	it3	1:1	norm	[]	16.0	0.84375
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:1_it2	prc	it1	3:1	stand	[]	it2	1:1	norm	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:1_it1	prc	it1	3:1	stand	[]	it1	1:1	norm	[]	17.0	0.9453125
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_2:1_it3	prc	it1	3:1	stand	[]	it3	2:1	norm	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_2:1_it2	prc	it1	3:1	stand	[]	it2	2:1	norm	[]	8.0	0.1953125
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_2:1_it1	prc	it1	3:1	stand	[]	it1	2:1	norm	[]	14.0	0.640625
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:2_it3	prc	it1	3:1	stand	[]	it3	1:2	norm	[]	9.0	0.25
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:2_it2	prc	it1	3:1	stand	[]	it2	1:2	norm	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:2_it1	prc	it1	3:1	stand	[]	it1	1:2	norm	[]	18.0	1.0
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:3_it3	prc	it1	3:1	stand	[]	it3	1:3	norm	[]	7.0	0.2367235706378573
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:3_it2	prc	it1	3:1	stand	[]	it2	1:3	norm	[]	11.0	0.3828125
t_wa_prc_stand_3:1_it1	t_wa_prc_norm_1:3_it1	prc	it1	3:1	stand	[]	it1	1:3	norm	[]	10.0	0.3125
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:1_it2	prc	it3	1:1	stand	[]	it2	1:1	stand	[]	7.0	0.1484375
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:1_it1	prc	it3	1:1	stand	[]	it1	1:1	stand	[]	8.0	0.1953125
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_2:1_it3	prc	it3	1:1	stand	[]	it3	2:1	stand	[]	16.0	0.84375
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_2:1_it2	prc	it3	1:1	stand	[]	it2	2:1	stand	[]	15.0	0.7421875
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_2:1_it1	prc	it3	1:1	stand	[]	it1	2:1	stand	[]	17.0	0.9453125
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:2_it3	prc	it3	1:1	stand	[]	it3	1:2	stand	[]	12.0	0.4609375
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:2_it2	prc	it3	1:1	stand	[]	it2	1:2	stand	[]	12.0	0.4609375
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:2_it1	prc	it3	1:1	stand	[]	it1	1:2	stand	[]	14.0	0.640625
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:3_it3	prc	it3	1:1	stand	[]	it3	1:3	stand	[]	14.0	0.640625
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:3_it2	prc	it3	1:1	stand	[]	it2	1:3	stand	[]	15.0	0.7421875
t_wa_prc_stand_1:1_it3	t_wa_prc_stand_1:3_it1	prc	it3	1:1	stand	[]	it1	1:3	stand	[]	15.0	0.7421875
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_3:1_it3	prc	it3	1:1	stand	[]	it3	3:1	norm	[]	13.0	0.546875
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_3:1_it2	prc	it3	1:1	stand	[]	it2	3:1	norm	[]	9.0	0.25
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_3:1_it1	prc	it3	1:1	stand	[]	it1	3:1	norm	[]	15.0	0.7421875
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:1_it3	prc	it3	1:1	stand	[]	it3	1:1	norm	[]	14.0	0.640625
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:1_it2	prc	it3	1:1	stand	[]	it2	1:1	norm	[]	12.0	0.4609375
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:1_it1	prc	it3	1:1	stand	[]	it1	1:1	norm	[]	16.0	0.84375
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_2:1_it3	prc	it3	1:1	stand	[]	it3	2:1	norm	[]	6.0	0.109375
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_2:1_it2	prc	it3	1:1	stand	[]	it2	2:1	norm	[]	4.0	0.0909689479753577
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_2:1_it1	prc	it3	1:1	stand	[]	it1	2:1	norm	[]	14.0	0.640625
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:2_it3	prc	it3	1:1	stand	[]	it3	1:2	norm	[]	8.0	0.1953125
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:2_it2	prc	it3	1:1	stand	[]	it2	1:2	norm	[]	14.0	0.640625
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:2_it1	prc	it3	1:1	stand	[]	it1	1:2	norm	[]	18.0	1.0
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:3_it3	prc	it3	1:1	stand	[]	it3	1:3	norm	[]	11.0	0.3828125
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:3_it2	prc	it3	1:1	stand	[]	it2	1:3	norm	[]	12.0	0.4609375
t_wa_prc_stand_1:1_it3	t_wa_prc_norm_1:3_it1	prc	it3	1:1	stand	[]	it1	1:3	norm	[]	15.0	0.7421875
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_1:1_it1	prc	it2	1:1	stand	[]	it1	1:1	stand	[]	14.0	0.640625
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_2:1_it3	prc	it2	1:1	stand	[]	it3	2:1	stand	[]	12.0	0.4609375
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_2:1_it2	prc	it2	1:1	stand	[]	it2	2:1	stand	[]	8.0	0.1953125
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_2:1_it1	prc	it2	1:1	stand	[]	it1	2:1	stand	[]	9.0	0.25
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_1:2_it3	prc	it2	1:1	stand	[]	it3	1:2	stand	[]	3.0	0.0390625
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_1:2_it2	prc	it2	1:1	stand	[]	it2	1:2	stand	[]	15.0	0.7421875
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_1:2_it1	prc	it2	1:1	stand	[]	it1	1:2	stand	[]	13.0	0.546875
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_1:3_it3	prc	it2	1:1	stand	[]	it3	1:3	stand	[]	4.0	0.0546875
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_1:3_it2	prc	it2	1:1	stand	[]	it2	1:3	stand	[]	4.5	0.078125
t_wa_prc_stand_1:1_it2	t_wa_prc_stand_1:3_it1	prc	it2	1:1	stand	[]	it1	1:3	stand	[]	6.0	0.109375
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_3:1_it3	prc	it2	1:1	stand	[]	it3	3:1	norm	[]	6.0	0.109375
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_3:1_it2	prc	it2	1:1	stand	[]	it2	3:1	norm	[]	0.0	0.0078125
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_3:1_it1	prc	it2	1:1	stand	[]	it1	3:1	norm	[]	9.0	0.25
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:1_it3	prc	it2	1:1	stand	[]	it3	1:1	norm	[]	9.5	0.3125
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:1_it2	prc	it2	1:1	stand	[]	it2	1:1	norm	[]	4.0	0.0546875
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:1_it1	prc	it2	1:1	stand	[]	it1	1:1	norm	[]	11.0	0.3828125
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_2:1_it3	prc	it2	1:1	stand	[]	it3	2:1	norm	[]	1.0	0.015625
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_2:1_it2	prc	it2	1:1	stand	[]	it2	2:1	norm	[]	3.0	0.0390625
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_2:1_it1	prc	it2	1:1	stand	[]	it1	2:1	norm	[]	5.0	0.078125
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:2_it3	prc	it2	1:1	stand	[]	it3	1:2	norm	[]	6.0	0.109375
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:2_it2	prc	it2	1:1	stand	[]	it2	1:2	norm	[]	5.0	0.078125
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:2_it1	prc	it2	1:1	stand	[]	it1	1:2	norm	[]	10.0	0.3125
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:3_it3	prc	it2	1:1	stand	[]	it3	1:3	norm	[]	5.0	0.078125
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:3_it2	prc	it2	1:1	stand	[]	it2	1:3	norm	[]	4.0	0.0546875
t_wa_prc_stand_1:1_it2	t_wa_prc_norm_1:3_it1	prc	it2	1:1	stand	[]	it1	1:3	norm	[]	1.0	0.015625
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_2:1_it3	prc	it1	1:1	stand	[]	it3	2:1	stand	[]	12.0	0.4609375
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_2:1_it2	prc	it1	1:1	stand	[]	it2	2:1	stand	[]	5.0	0.078125
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_2:1_it1	prc	it1	1:1	stand	[]	it1	2:1	stand	[]	10.0	0.3125
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_1:2_it3	prc	it1	1:1	stand	[]	it3	1:2	stand	[]	6.0	0.109375
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_1:2_it2	prc	it1	1:1	stand	[]	it2	1:2	stand	[]	16.0	0.84375
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_1:2_it1	prc	it1	1:1	stand	[]	it1	1:2	stand	[]	10.0	0.3125
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_1:3_it3	prc	it1	1:1	stand	[]	it3	1:3	stand	[]	4.0	0.0546875
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_1:3_it2	prc	it1	1:1	stand	[]	it2	1:3	stand	[]	2.0	0.0234375
t_wa_prc_stand_1:1_it1	t_wa_prc_stand_1:3_it1	prc	it1	1:1	stand	[]	it1	1:3	stand	[]	8.0	0.1953125
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_3:1_it3	prc	it1	1:1	stand	[]	it3	3:1	norm	[]	6.0	0.109375
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_3:1_it2	prc	it1	1:1	stand	[]	it2	3:1	norm	[]	0.0	0.0078125
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_3:1_it1	prc	it1	1:1	stand	[]	it1	3:1	norm	[]	9.0	0.25
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:1_it3	prc	it1	1:1	stand	[]	it3	1:1	norm	[]	6.0	0.109375
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:1_it2	prc	it1	1:1	stand	[]	it2	1:1	norm	[]	2.0	0.0234375
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:1_it1	prc	it1	1:1	stand	[]	it1	1:1	norm	[]	7.0	0.1484375
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_2:1_it3	prc	it1	1:1	stand	[]	it3	2:1	norm	[]	0.0	0.0078125
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_2:1_it2	prc	it1	1:1	stand	[]	it2	2:1	norm	[]	0.0	0.0078125
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_2:1_it1	prc	it1	1:1	stand	[]	it1	2:1	norm	[]	7.0	0.1484375
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:2_it3	prc	it1	1:1	stand	[]	it3	1:2	norm	[]	3.0	0.0390625
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:2_it2	prc	it1	1:1	stand	[]	it2	1:2	norm	[]	5.0	0.078125
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:2_it1	prc	it1	1:1	stand	[]	it1	1:2	norm	[]	7.0	0.1484375
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:3_it3	prc	it1	1:1	stand	[]	it3	1:3	norm	[]	4.0	0.0546875
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:3_it2	prc	it1	1:1	stand	[]	it2	1:3	norm	[]	5.0	0.078125
t_wa_prc_stand_1:1_it1	t_wa_prc_norm_1:3_it1	prc	it1	1:1	stand	[]	it1	1:3	norm	[]	4.0	0.0546875
t_wa_prc_stand_2:1_it3	t_wa_prc_stand_2:1_it2	prc	it3	2:1	stand	[]	it2	2:1	stand	[]	18.0	1.0
